member_casual,hour,ride_id
casual,0,33710
casual,1,22572
casual,2,14001
casual,3,7789
casual,4,6140
casual,5,11762
casual,6,28025
casual,7,52157
casual,8,73839
casual,9,74464
casual,10,91761
casual,11,116616
casual,12,137916
casual,13,143821
casual,14,149635
casual,15,164586
casual,16,185430
casual,17,197674
casual,18,168199
casual,19,123756
casual,20,90381
casual,21,74805
casual,22,65316
casual,23,45797
member,0,31760
member,1,19474
member,2,11024
member,3,7593
member,4,8536
member,5,34060
member,6,102427
member,7,197417
member,8,251355
member,9,170771
member,10,150423
member,11,175610
member,12,200972
member,13,200793
member,14,201304
member,15,246877
member,16,337301
member,17,386746
member,18,301135
member,19,210914
member,20,147783
member,21,113387
member,22,82017
member,23,51611
